epoch,accuracy,balanced_accuracy,macro_f1,majority_accuracy,chance_balanced_accuracy
10,0.325,0.25,0.12264150943396226,0.325,0.25
20,0.325,0.25,0.12264150943396226,0.325,0.25
30,0.325,0.25,0.12264150943396226,0.325,0.25
40,0.325,0.25,0.12264150943396226,0.325,0.25
50,0.325,0.25,0.12264150943396226,0.325,0.25
60,0.325,0.25,0.12264150943396226,0.325,0.25
70,0.3,0.23076923076923078,0.11764705882352941,0.325,0.25
80,0.325,0.2782051282051282,0.21313131313131312,0.325,0.25
90,0.325,0.2592657342657343,0.19835309617918315,0.325,0.25
100,0.3,0.23653846153846153,0.15802675585284282,0.325,0.25
110,0.325,0.2730769230769231,0.20833333333333331,0.325,0.25
120,0.275,0.22307692307692306,0.1760797342192691,0.325,0.25
130,0.275,0.22307692307692306,0.1653846153846154,0.325,0.25
140,0.225,0.18461538461538463,0.14722222222222223,0.325,0.25
150,0.275,0.22657342657342658,0.19583333333333333,0.325,0.25
160,0.225,0.19965034965034967,0.18389154704944177,0.325,0.25
170,0.225,0.19737762237762238,0.18831168831168832,0.325,0.25
180,0.25,0.23904428904428904,0.24150025601638503,0.325,0.25
190,0.225,0.19737762237762238,0.18748006379585325,0.325,0.25
